description,industry,level,size,line_code,value
"For your most recent equity request, how did you intend to use the finance? working capital or operating capital",Mining,1,total,D0808,3
"For your most recent equity request, how did you intend to use the finance? working capital or operating capital",Manufacturing,1,total,D0808,291
"For your most recent equity request, how did you intend to use the finance? working capital or operating capital","Food, beverage, & tobacco",2,total,D0808,117
"For your most recent equity request, how did you intend to use the finance? working capital or operating capital","Textile, clothing, footwear, & leather",2,total,D0808,27
"For your most recent equity request, how did you intend to use the finance? working capital or operating capital",Wood & paper product,2,total,D0808,3
"For your most recent equity request, how did you intend to use the finance? working capital or operating capital","Printing, publishing, & recorded media",2,total,D0808,15
"For your most recent equity request, how did you intend to use the finance? working capital or operating capital","Petroleum, coal, chemical, & associated product",2,total,D0808,18
"For your most recent equity request, how did you intend to use the finance? working capital or operating capital",Non-metallic mineral product,2,total,D0808,18
"For your most recent equity request, how did you intend to use the finance? working capital or operating capital",Metal product,2,total,D0808,6
"For your most recent equity request, how did you intend to use the finance? working capital or operating capital",Transport and industrial machinery & equipment,2,total,D0808,45
"For your most recent equity request, how did you intend to use the finance? working capital or operating capital",Other machinery & equipment,2,total,D0808,18
"For your most recent equity request, how did you intend to use the finance? working capital or operating capital",Other manufacturing,2,total,D0808,21
"For your most recent equity request, how did you intend to use the finance? working capital or operating capital","Electricity, gas, water, & waste services",1,total,D0808,12
"For your most recent equity request, how did you intend to use the finance? working capital or operating capital",Construction,1,total,D0808,132
"For your most recent equity request, how did you intend to use the finance? working capital or operating capital",Wholesale trade,1,total,D0808,306
"For your most recent equity request, how did you intend to use the finance? working capital or operating capital",Machinery & equipment wholesaling,2,total,D0808,45
"For your most recent equity request, how did you intend to use the finance? working capital or operating capital",Other wholesale trade,2,total,D0808,258
"For your most recent equity request, how did you intend to use the finance? working capital or operating capital",Retail trade,1,total,D0808,84
"For your most recent equity request, how did you intend to use the finance? working capital or operating capital",Accommodation & food services,1,total,D0808,465
"For your most recent equity request, how did you intend to use the finance? working capital or operating capital","Transport, postal, & warehousing",1,total,D0808,111
"For your most recent equity request, how did you intend to use the finance? working capital or operating capital",Information media & telecommunications,1,total,D0808,30
"For your most recent equity request, how did you intend to use the finance? working capital or operating capital",Publishing,2,total,D0808,12
"For your most recent equity request, how did you intend to use the finance? working capital or operating capital",Motion picture,2,total,D0808,3
"For your most recent equity request, how did you intend to use the finance? working capital or operating capital",Telecommunications,2,total,D0808,12
"For your most recent equity request, how did you intend to use the finance? working capital or operating capital",Financial & insurance services,1,total,D0808,36
"For your most recent equity request, how did you intend to use the finance? working capital or operating capital",Finance,2,total,D0808,15
"For your most recent equity request, how did you intend to use the finance? working capital or operating capital",Insurance,2,total,D0808,3
"For your most recent equity request, how did you intend to use the finance? working capital or operating capital",Auxiliary,2,total,D0808,18
"For your most recent equity request, how did you intend to use the finance? working capital or operating capital","Rental, hiring, & real estate services",1,total,D0808,84
"For your most recent equity request, how did you intend to use the finance? working capital or operating capital","Professional, scientific, & technical services",1,total,D0808,177
"For your most recent equity request, how did you intend to use the finance? working capital or operating capital",Computer systems design,2,total,D0808,63
"For your most recent equity request, how did you intend to use the finance? working capital or operating capital",Other professional scientific,2,total,D0808,114
"For your most recent equity request, how did you intend to use the finance? working capital or operating capital",Administrative & support services,1,total,D0808,81
"For your most recent equity request, how did you intend to use the finance? working capital or operating capital",Education & training,1,total,D0808,24
"For your most recent equity request, how did you intend to use the finance? working capital or operating capital",Health care & social assistance,1,total,D0808,114
"For your most recent equity request, how did you intend to use the finance? working capital or operating capital",Arts & recreation services,1,total,D0808,18
"For your most recent equity request, how did you intend to use the finance? working capital or operating capital",Other services,1,total,D0808,39
"For your most recent equity request, how did you intend to use the finance? working capital or operating capital",total,0,total,D0808,2148
"For your most recent equity request, how did you intend to use the finance? international expansion",total,0,6–19 employees,D0809,186
"For your most recent equity request, how did you intend to use the finance? international expansion",total,0,20–49 employees,D0809,72
"For your most recent equity request, how did you intend to use the finance? international expansion",total,0,50–99 employees,D0809,15
"For your most recent equity request, how did you intend to use the finance? international expansion",total,0,100+ employees,D0809,12
"For your most recent equity request, how did you intend to use the finance? international expansion","Agriculture, forestry, & fishing",1,total,D0809,3
"For your most recent equity request, how did you intend to use the finance? international expansion",Agriculture,2,total,D0809,0
"For your most recent equity request, how did you intend to use the finance? international expansion",Commercial fishing,2,total,D0809,0
"For your most recent equity request, how did you intend to use the finance? international expansion",Forestry & logging,2,total,D0809,3
"For your most recent equity request, how did you intend to use the finance? international expansion","Agriculture, forestry, & fishing support services",2,total,D0809,0
"For your most recent equity request, how did you intend to use the finance? international expansion",Mining,1,total,D0809,0
"For your most recent equity request, how did you intend to use the finance? international expansion",Manufacturing,1,total,D0809,54
"For your most recent equity request, how did you intend to use the finance? international expansion","Food, beverage, & tobacco",2,total,D0809,27
"For your most recent equity request, how did you intend to use the finance? international expansion","Textile, clothing, footwear, & leather",2,total,D0809,12
"For your most recent equity request, how did you intend to use the finance? international expansion",Wood & paper product,2,total,D0809,0
"For your most recent equity request, how did you intend to use the finance? international expansion","Printing, publishing, & recorded media",2,total,D0809,0
"For your most recent equity request, how did you intend to use the finance? international expansion","Petroleum, coal, chemical, & associated product",2,total,D0809,12
"For your most recent equity request, how did you intend to use the finance? international expansion",Non-metallic mineral product,2,total,D0809,0
"For your most recent equity request, how did you intend to use the finance? international expansion",Metal product,2,total,D0809,0
"For your most recent equity request, how did you intend to use the finance? international expansion",Transport and industrial machinery & equipment,2,total,D0809,0
"For your most recent equity request, how did you intend to use the finance? international expansion",Other machinery & equipment,2,total,D0809,6
"For your most recent equity request, how did you intend to use the finance? international expansion",Other manufacturing,2,total,D0809,0
"For your most recent equity request, how did you intend to use the finance? international expansion","Electricity, gas, water, & waste services",1,total,D0809,0
"For your most recent equity request, how did you intend to use the finance? international expansion",Construction,1,total,D0809,0
"For your most recent equity request, how did you intend to use the finance? international expansion",Wholesale trade,1,total,D0809,84
"For your most recent equity request, how did you intend to use the finance? international expansion",Machinery & equipment wholesaling,2,total,D0809,0
"For your most recent equity request, how did you intend to use the finance? international expansion",Other wholesale trade,2,total,D0809,81
"For your most recent equity request, how did you intend to use the finance? international expansion",Retail trade,1,total,D0809,15
"For your most recent equity request, how did you intend to use the finance? international expansion",Accommodation & food services,1,total,D0809,9
"For your most recent equity request, how did you intend to use the finance? international expansion","Transport, postal, & warehousing",1,total,D0809,6
"For your most recent equity request, how did you intend to use the finance? international expansion",Information media & telecommunications,1,total,D0809,18
"For your most recent equity request, how did you intend to use the finance? international expansion",Publishing,2,total,D0809,12
"For your most recent equity request, how did you intend to use the finance? international expansion",Motion picture,2,total,D0809,0
"For your most recent equity request, how did you intend to use the finance? international expansion",Telecommunications,2,total,D0809,3
"For your most recent equity request, how did you intend to use the finance? international expansion",Financial & insurance services,1,total,D0809,3
"For your most recent equity request, how did you intend to use the finance? international expansion",Finance,2,total,D0809,3
"For your most recent equity request, how did you intend to use the finance? international expansion",Insurance,2,total,D0809,0
"For your most recent equity request, how did you intend to use the finance? international expansion",Auxiliary,2,total,D0809,3
"For your most recent equity request, how did you intend to use the finance? international expansion","Rental, hiring, & real estate services",1,total,D0809,21
"For your most recent equity request, how did you intend to use the finance? international expansion","Professional, scientific, & technical services",1,total,D0809,54
"For your most recent equity request, how did you intend to use the finance? international expansion",Computer systems design,2,total,D0809,30
"For your most recent equity request, how did you intend to use the finance? international expansion",Other professional scientific,2,total,D0809,27
"For your most recent equity request, how did you intend to use the finance? international expansion",Administrative & support services,1,total,D0809,3
"For your most recent equity request, how did you intend to use the finance? international expansion",Education & training,1,total,D0809,3
"For your most recent equity request, how did you intend to use the finance? international expansion",Health care & social assistance,1,total,D0809,0
"For your most recent equity request, how did you intend to use the finance? international expansion",Arts & recreation services,1,total,D0809,3
"For your most recent equity request, how did you intend to use the finance? international expansion",Other services,1,total,D0809,0
"For your most recent equity request, how did you intend to use the finance? international expansion",total,0,total,D0809,285
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand",total,0,6–19 employees,D0810,591
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand",total,0,20–49 employees,D0810,141
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand",total,0,50–99 employees,D0810,39
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand",total,0,100+ employees,D0810,36
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand","Agriculture, forestry, & fishing",1,total,D0810,72
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand",Agriculture,2,total,D0810,45
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand",Commercial fishing,2,total,D0810,3
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand",Forestry & logging,2,total,D0810,15
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand","Agriculture, forestry, & fishing support services",2,total,D0810,9
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand",Mining,1,total,D0810,0
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand",Manufacturing,1,total,D0810,84
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand","Food, beverage, & tobacco",2,total,D0810,30
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand","Textile, clothing, footwear, & leather",2,total,D0810,12
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand",Wood & paper product,2,total,D0810,6
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand","Printing, publishing, & recorded media",2,total,D0810,0
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand","Petroleum, coal, chemical, & associated product",2,total,D0810,15
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand",Non-metallic mineral product,2,total,D0810,6
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand",Metal product,2,total,D0810,6
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand",Transport and industrial machinery & equipment,2,total,D0810,3
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand",Other machinery & equipment,2,total,D0810,6
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand",Other manufacturing,2,total,D0810,0
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand","Electricity, gas, water, & waste services",1,total,D0810,9
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand",Construction,1,total,D0810,0
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand",Wholesale trade,1,total,D0810,132
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand",Machinery & equipment wholesaling,2,total,D0810,30
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand",Other wholesale trade,2,total,D0810,102
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand",Retail trade,1,total,D0810,84
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand",Accommodation & food services,1,total,D0810,123
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand","Transport, postal, & warehousing",1,total,D0810,51
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand",Information media & telecommunications,1,total,D0810,15
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand",Publishing,2,total,D0810,6
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand",Motion picture,2,total,D0810,0
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand",Telecommunications,2,total,D0810,6
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand",Financial & insurance services,1,total,D0810,24
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand",Finance,2,total,D0810,15
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand",Insurance,2,total,D0810,3
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand",Auxiliary,2,total,D0810,9
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand","Rental, hiring, & real estate services",1,total,D0810,54
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand","Professional, scientific, & technical services",1,total,D0810,57
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand",Computer systems design,2,total,D0810,33
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand",Other professional scientific,2,total,D0810,27
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand",Administrative & support services,1,total,D0810,18
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand",Education & training,1,total,D0810,12
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand",Health care & social assistance,1,total,D0810,42
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand",Arts & recreation services,1,total,D0810,6
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand",Other services,1,total,D0810,12
"For your most recent equity request, how did you intend to use the finance? expansion within New Zealand",total,0,total,D0810,807
"For your most recent equity request, how did you intend to use the finance? other",total,0,6–19 employees,D0811,903
"For your most recent equity request, how did you intend to use the finance? other",total,0,20–49 employees,D0811,198
"For your most recent equity request, how did you intend to use the finance? other",total,0,50–99 employees,D0811,51
"For your most recent equity request, how did you intend to use the finance? other",total,0,100+ employees,D0811,39
"For your most recent equity request, how did you intend to use the finance? other","Agriculture, forestry, & fishing",1,total,D0811,12
"For your most recent equity request, how did you intend to use the finance? other",Agriculture,2,total,D0811,0
"For your most recent equity request, how did you intend to use the finance? other",Commercial fishing,2,total,D0811,0
"For your most recent equity request, how did you intend to use the finance? other",Forestry & logging,2,total,D0811,3
"For your most recent equity request, how did you intend to use the finance? other","Agriculture, forestry, & fishing support services",2,total,D0811,9
"For your most recent equity request, how did you intend to use the finance? other",Mining,1,total,D0811,3
"For your most recent equity request, how did you intend to use the finance? other",Manufacturing,1,total,D0811,123
"For your most recent equity request, how did you intend to use the finance? other","Food, beverage, & tobacco",2,total,D0811,45
"For your most recent equity request, how did you intend to use the finance? other","Textile, clothing, footwear, & leather",2,total,D0811,6
"For your most recent equity request, how did you intend to use the finance? other",Wood & paper product,2,total,D0811,30
"For your most recent equity request, how did you intend to use the finance? other","Printing, publishing, & recorded media",2,total,D0811,9
"For your most recent equity request, how did you intend to use the finance? other","Petroleum, coal, chemical, & associated product",2,total,D0811,12
"For your most recent equity request, how did you intend to use the finance? other",Non-metallic mineral product,2,total,D0811,3
"For your most recent equity request, how did you intend to use the finance? other",Metal product,2,total,D0811,3
"For your most recent equity request, how did you intend to use the finance? other",Transport and industrial machinery & equipment,2,total,D0811,12
"For your most recent equity request, how did you intend to use the finance? other",Other machinery & equipment,2,total,D0811,0
"For your most recent equity request, how did you intend to use the finance? other",Other manufacturing,2,total,D0811,6
"For your most recent equity request, how did you intend to use the finance? other","Electricity, gas, water, & waste services",1,total,D0811,6
"For your most recent equity request, how did you intend to use the finance? other",Construction,1,total,D0811,30
"For your most recent equity request, how did you intend to use the finance? other",Wholesale trade,1,total,D0811,84
"For your most recent equity request, how did you intend to use the finance? other",Machinery & equipment wholesaling,2,total,D0811,0
"For your most recent equity request, how did you intend to use the finance? other",Other wholesale trade,2,total,D0811,81
"For your most recent equity request, how did you intend to use the finance? other",Retail trade,1,total,D0811,123
"For your most recent equity request, how did you intend to use the finance? other",Accommodation & food services,1,total,D0811,522
"For your most recent equity request, how did you intend to use the finance? other","Transport, postal, & warehousing",1,total,D0811,30
"For your most recent equity request, how did you intend to use the finance? other",Information media & telecommunications,1,total,D0811,3
"For your most recent equity request, how did you intend to use the finance? other",Publishing,2,total,D0811,0
"For your most recent equity request, how did you intend to use the finance? other",Motion picture,2,total,D0811,0
"For your most recent equity request, how did you intend to use the finance? other",Telecommunications,2,total,D0811,3
"For your most recent equity request, how did you intend to use the finance? other",Financial & insurance services,1,total,D0811,24
"For your most recent equity request, how did you intend to use the finance? other",Finance,2,total,D0811,9
"For your most recent equity request, how did you intend to use the finance? other",Insurance,2,total,D0811,0
"For your most recent equity request, how did you intend to use the finance? other",Auxiliary,2,total,D0811,15
"For your most recent equity request, how did you intend to use the finance? other","Rental, hiring, & real estate services",1,total,D0811,3
"For your most recent equity request, how did you intend to use the finance? other","Professional, scientific, & technical services",1,total,D0811,60
"For your most recent equity request, how did you intend to use the finance? other",Computer systems design,2,total,D0811,21
"For your most recent equity request, how did you intend to use the finance? other",Other professional scientific,2,total,D0811,42
"For your most recent equity request, how did you intend to use the finance? other",Administrative & support services,1,total,D0811,39
"For your most recent equity request, how did you intend to use the finance? other",Education & training,1,total,D0811,24
"For your most recent equity request, how did you intend to use the finance? other",Health care & social assistance,1,total,D0811,66
"For your most recent equity request, how did you intend to use the finance? other",Arts & recreation services,1,total,D0811,18
"For your most recent equity request, how did you intend to use the finance? other",Other services,1,total,D0811,15
"For your most recent equity request, how did you intend to use the finance? other",total,0,total,D0811,1194
"For your most recent equity request, was any finance received? the request is still under review",total,0,6–19 employees,D0900.01,552
"For your most recent equity request, was any finance received? the request is still under review",total,0,20–49 employees,D0900.01,141
"For your most recent equity request, was any finance received? the request is still under review",total,0,50–99 employees,D0900.01,21
"For your most recent equity request, was any finance received? the request is still under review",total,0,100+ employees,D0900.01,27
"For your most recent equity request, was any finance received? the request is still under review","Agriculture, forestry, & fishing",1,total,D0900.01,42
"For your most recent equity request, was any finance received? the request is still under review",Agriculture,2,total,D0900.01,3
"For your most recent equity request, was any finance received? the request is still under review",Commercial fishing,2,total,D0900.01,0
"For your most recent equity request, was any finance received? the request is still under review",Forestry & logging,2,total,D0900.01,12
"For your most recent equity request, was any finance received? the request is still under review","Agriculture, forestry, & fishing support services",2,total,D0900.01,30
"For your most recent equity request, was any finance received? the request is still under review",Mining,1,total,D0900.01,3
"For your most recent equity request, was any finance received? the request is still under review",Manufacturing,1,total,D0900.01,81
"For your most recent equity request, was any finance received? the request is still under review","Food, beverage, & tobacco",2,total,D0900.01,24
"For your most recent equity request, was any finance received? the request is still under review","Textile, clothing, footwear, & leather",2,total,D0900.01,3
"For your most recent equity request, was any finance received? the request is still under review",Wood & paper product,2,total,D0900.01,9
"For your most recent equity request, was any finance received? the request is still under review","Printing, publishing, & recorded media",2,total,D0900.01,0
"For your most recent equity request, was any finance received? the request is still under review","Petroleum, coal, chemical, & associated product",2,total,D0900.01,3
"For your most recent equity request, was any finance received? the request is still under review",Non-metallic mineral product,2,total,D0900.01,12
"For your most recent equity request, was any finance received? the request is still under review",Metal product,2,total,D0900.01,21
"For your most recent equity request, was any finance received? the request is still under review",Transport and industrial machinery & equipment,2,total,D0900.01,3
"For your most recent equity request, was any finance received? the request is still under review",Other machinery & equipment,2,total,D0900.01,3
"For your most recent equity request, was any finance received? the request is still under review",Other manufacturing,2,total,D0900.01,3
"For your most recent equity request, was any finance received? the request is still under review","Electricity, gas, water, & waste services",1,total,D0900.01,3
"For your most recent equity request, was any finance received? the request is still under review",Construction,1,total,D0900.01,0
"For your most recent equity request, was any finance received? the request is still under review",Wholesale trade,1,total,D0900.01,42
"For your most recent equity request, was any finance received? the request is still under review",Machinery & equipment wholesaling,2,total,D0900.01,0
"For your most recent equity request, was any finance received? the request is still under review",Other wholesale trade,2,total,D0900.01,39
"For your most recent equity request, was any finance received? the request is still under review",Retail trade,1,total,D0900.01,72
"For your most recent equity request, was any finance received? the request is still under review",Accommodation & food services,1,total,D0900.01,309
"For your most recent equity request, was any finance received? the request is still under review","Transport, postal, & warehousing",1,total,D0900.01,45
"For your most recent equity request, was any finance received? the request is still under review",Information media & telecommunications,1,total,D0900.01,9
"For your most recent equity request, was any finance received? the request is still under review",Publishing,2,total,D0900.01,3
"For your most recent equity request, was any finance received? the request is still under review",Motion picture,2,total,D0900.01,0
"For your most recent equity request, was any finance received? the request is still under review",Telecommunications,2,total,D0900.01,3
"For your most recent equity request, was any finance received? the request is still under review",Financial & insurance services,1,total,D0900.01,6
"For your most recent equity request, was any finance received? the request is still under review",Finance,2,total,D0900.01,3
"For your most recent equity request, was any finance received? the request is still under review",Insurance,2,total,D0900.01,0
"For your most recent equity request, was any finance received? the request is still under review",Auxiliary,2,total,D0900.01,6
"For your most recent equity request, was any finance received? the request is still under review","Rental, hiring, & real estate services",1,total,D0900.01,21
"For your most recent equity request, was any finance received? the request is still under review","Professional, scientific, & technical services",1,total,D0900.01,15
"For your most recent equity request, was any finance received? the request is still under review",Computer systems design,2,total,D0900.01,15
"For your most recent equity request, was any finance received? the request is still under review",Other professional scientific,2,total,D0900.01,3
"For your most recent equity request, was any finance received? the request is still under review",Administrative & support services,1,total,D0900.01,15
"For your most recent equity request, was any finance received? the request is still under review",Education & training,1,total,D0900.01,9
"For your most recent equity request, was any finance received? the request is still under review",Health care & social assistance,1,total,D0900.01,54
"For your most recent equity request, was any finance received? the request is still under review",Arts & recreation services,1,total,D0900.01,6
"For your most recent equity request, was any finance received? the request is still under review",Other services,1,total,D0900.01,0
"For your most recent equity request, was any finance received? the request is still under review",total,0,total,D0900.01,741
"For your most recent equity request, was any finance received? all of the requested amount was received",total,0,6–19 employees,D0900.02,2424
"For your most recent equity request, was any finance received? all of the requested amount was received",total,0,20–49 employees,D0900.02,618
"For your most recent equity request, was any finance received? all of the requested amount was received",total,0,50–99 employees,D0900.02,198
"For your most recent equity request, was any finance received? all of the requested amount was received",total,0,100+ employees,D0900.02,138
"For your most recent equity request, was any finance received? all of the requested amount was received","Agriculture, forestry, & fishing",1,total,D0900.02,408
"For your most recent equity request, was any finance received? all of the requested amount was received",Agriculture,2,total,D0900.02,294
"For your most recent equity request, was any finance received? all of the requested amount was received",Commercial fishing,2,total,D0900.02,9
"For your most recent equity request, was any finance received? all of the requested amount was received",Forestry & logging,2,total,D0900.02,39
"For your most recent equity request, was any finance received? all of the requested amount was received","Agriculture, forestry, & fishing support services",2,total,D0900.02,66
"For your most recent equity request, was any finance received? all of the requested amount was received",Mining,1,total,D0900.02,9
"For your most recent equity request, was any finance received? all of the requested amount was received",Manufacturing,1,total,D0900.02,420
"For your most recent equity request, was any finance received? all of the requested amount was received","Food, beverage, & tobacco",2,total,D0900.02,144
"For your most recent equity request, was any finance received? all of the requested amount was received","Textile, clothing, footwear, & leather",2,total,D0900.02,30
"For your most recent equity request, was any finance received? all of the requested amount was received",Wood & paper product,2,total,D0900.02,15
"For your most recent equity request, was any finance received? all of the requested amount was received","Printing, publishing, & recorded media",2,total,D0900.02,24
"For your most recent equity request, was any finance received? all of the requested amount was received","Petroleum, coal, chemical, & associated product",2,total,D0900.02,27
"For your most recent equity request, was any finance received? all of the requested amount was received",Non-metallic mineral product,2,total,D0900.02,27
"For your most recent equity request, was any finance received? all of the requested amount was received",Metal product,2,total,D0900.02,24
"For your most recent equity request, was any finance received? all of the requested amount was received",Transport and industrial machinery & equipment,2,total,D0900.02,84
"For your most recent equity request, was any finance received? all of the requested amount was received",Other machinery & equipment,2,total,D0900.02,24
"For your most recent equity request, was any finance received? all of the requested amount was received",Other manufacturing,2,total,D0900.02,18
"For your most recent equity request, was any finance received? all of the requested amount was received","Electricity, gas, water, & waste services",1,total,D0900.02,27
"For your most recent equity request, was any finance received? all of the requested amount was received",Construction,1,total,D0900.02,414
"For your most recent equity request, was any finance received? all of the requested amount was received",Wholesale trade,1,total,D0900.02,234
"For your most recent equity request, was any finance received? all of the requested amount was received",Machinery & equipment wholesaling,2,total,D0900.02,72
"For your most recent equity request, was any finance received? all of the requested amount was received",Other wholesale trade,2,total,D0900.02,162
"For your most recent equity request, was any finance received? all of the requested amount was received",Retail trade,1,total,D0900.02,276
"For your most recent equity request, was any finance received? all of the requested amount was received",Accommodation & food services,1,total,D0900.02,465
"For your most recent equity request, was any finance received? all of the requested amount was received","Transport, postal, & warehousing",1,total,D0900.02,117
"For your most recent equity request, was any finance received? all of the requested amount was received",Information media & telecommunications,1,total,D0900.02,21
"For your most recent equity request, was any finance received? all of the requested amount was received",Publishing,2,total,D0900.02,6
"For your most recent equity request, was any finance received? all of the requested amount was received",Motion picture,2,total,D0900.02,0
"For your most recent equity request, was any finance received? all of the requested amount was received",Telecommunications,2,total,D0900.02,12
"For your most recent equity request, was any finance received? all of the requested amount was received",Financial & insurance services,1,total,D0900.02,54
"For your most recent equity request, was any finance received? all of the requested amount was received",Finance,2,total,D0900.02,21
"For your most recent equity request, was any finance received? all of the requested amount was received",Insurance,2,total,D0900.02,3
"For your most recent equity request, was any finance received? all of the requested amount was received",Auxiliary,2,total,D0900.02,33
"For your most recent equity request, was any finance received? all of the requested amount was received","Rental, hiring, & real estate services",1,total,D0900.02,93
"For your most recent equity request, was any finance received? all of the requested amount was received","Professional, scientific, & technical services",1,total,D0900.02,267
"For your most recent equity request, was any finance received? all of the requested amount was received",Computer systems design,2,total,D0900.02,72
"For your most recent equity request, was any finance received? all of the requested amount was received",Other professional scientific,2,total,D0900.02,195
"For your most recent equity request, was any finance received? all of the requested amount was received",Administrative & support services,1,total,D0900.02,111
"For your most recent equity request, was any finance received? all of the requested amount was received",Education & training,1,total,D0900.02,48
"For your most recent equity request, was any finance received? all of the requested amount was received",Health care & social assistance,1,total,D0900.02,264
"For your most recent equity request, was any finance received? all of the requested amount was received",Arts & recreation services,1,total,D0900.02,39
"For your most recent equity request, was any finance received? all of the requested amount was received",Other services,1,total,D0900.02,108
"For your most recent equity request, was any finance received? all of the requested amount was received",total,0,total,D0900.02,3378
"For your most recent equity request, was any finance received? some of the requested amount was received",total,0,6–19 employees,D0900.03,591
"For your most recent equity request, was any finance received? some of the requested amount was received",total,0,20–49 employees,D0900.03,99
"For your most recent equity request, was any finance received? some of the requested amount was received",total,0,50–99 employees,D0900.03,33
"For your most recent equity request, was any finance received? some of the requested amount was received",total,0,100+ employees,D0900.03,15
"For your most recent equity request, was any finance received? some of the requested amount was received","Agriculture, forestry, & fishing",1,total,D0900.03,51
"For your most recent equity request, was any finance received? some of the requested amount was received",Agriculture,2,total,D0900.03,33
"For your most recent equity request, was any finance received? some of the requested amount was received",Commercial fishing,2,total,D0900.03,0
"For your most recent equity request, was any finance received? some of the requested amount was received",Forestry & logging,2,total,D0900.03,9
"For your most recent equity request, was any finance received? some of the requested amount was received","Agriculture, forestry, & fishing support services",2,total,D0900.03,9
"For your most recent equity request, was any finance received? some of the requested amount was received",Mining,1,total,D0900.03,3
"For your most recent equity request, was any finance received? some of the requested amount was received",Manufacturing,1,total,D0900.03,72
"For your most recent equity request, was any finance received? some of the requested amount was received","Food, beverage, & tobacco",2,total,D0900.03,42
"For your most recent equity request, was any finance received? some of the requested amount was received","Textile, clothing, footwear, & leather",2,total,D0900.03,0
"For your most recent equity request, was any finance received? some of the requested amount was received",Wood & paper product,2,total,D0900.03,12
"For your most recent equity request, was any finance received? some of the requested amount was received","Printing, publishing, & recorded media",2,total,D0900.03,0
"For your most recent equity request, was any finance received? some of the requested amount was received","Petroleum, coal, chemical, & associated product",2,total,D0900.03,3
"For your most recent equity request, was any finance received? some of the requested amount was received",Non-metallic mineral product,2,total,D0900.03,0
"For your most recent equity request, was any finance received? some of the requested amount was received",Metal product,2,total,D0900.03,3
"For your most recent equity request, was any finance received? some of the requested amount was received",Transport and industrial machinery & equipment,2,total,D0900.03,0
"For your most recent equity request, was any finance received? some of the requested amount was received",Other machinery & equipment,2,total,D0900.03,9
"For your most recent equity request, was any finance received? some of the requested amount was received",Other manufacturing,2,total,D0900.03,6
"For your most recent equity request, was any finance received? some of the requested amount was received","Electricity, gas, water, & waste services",1,total,D0900.03,3
"For your most recent equity request, was any finance received? some of the requested amount was received",Construction,1,total,D0900.03,60
"For your most recent equity request, was any finance received? some of the requested amount was received",Wholesale trade,1,total,D0900.03,120
"For your most recent equity request, was any finance received? some of the requested amount was received",Machinery & equipment wholesaling,2,total,D0900.03,12
"For your most recent equity request, was any finance received? some of the requested amount was received",Other wholesale trade,2,total,D0900.03,105
"For your most recent equity request, was any finance received? some of the requested amount was received",Retail trade,1,total,D0900.03,15
"For your most recent equity request, was any finance received? some of the requested amount was received",Accommodation & food services,1,total,D0900.03,219
"For your most recent equity request, was any finance received? some of the requested amount was received","Transport, postal, & warehousing",1,total,D0900.03,57
